price_total,quantity,date_created.year,date_created.month,date_created.day,customer.name,country.region,country.country,product.category,product.name
195,98,2011,1,15,"Sample, inc",Europe,Switzerland,Sports,Mountain Bike
47,244,2011,1,16,LuthorCorp,Europe,Poland,Sports,Trial Bike
"155,8",113,2011,1,17,Gringotts,South America,Ecuador,Sports,Rafting Boat
"44,08",291,2011,1,18,Fake Brothers,North America,United States of America,Sports,Trial Bike
49,278,2011,1,18,Foo Bars,South America,Brazil,Sports,Snowboard table
140,442,2011,1,19,Omni Consimer Products,Europe,Poland,Sports,Bicycle Helmet
"160,77",205,2011,1,20,Galaxy Corp,Africa,South Africa,Sports,Snowboard table
46,387,2011,1,20,LuthorCorp,Europe,Slovakia (Slovak Republic),Sports,Trial Bike
"44,08",345,2011,1,20,Fake Brothers,North America,United States of America,Sports,Trial Bike
"49,95",349,2011,1,21,Globex Corporation,Europe,Slovakia (Slovak Republic),Books,Bicycle Wheel
20,62,2011,1,21,Monks Diner,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
49,142,2011,1,21,Sample Company,Europe,Switzerland,Sports,Tent for extreme weather
"155,3",44,2011,1,22,The Legitimate Businessmens Club,South America,Brazil,Sports,Mountain Bike
49,112,2011,1,22,Foo Bars,South America,Brazil,Sports,Snowboard table
"115,54",369,2011,1,23,"Acme, inc.",Europe,Spain,Sports,Snowboard boots
130,283,2011,1,24,ABC Telecom,South America,Guatemala,Sports,Snowboard glasses
"50,2396",132,2011,1,25,Leeding Engines Ltd.,Europe,Spain,Books,Build your own bicycle
320,169,2011,1,25,Keedsler Motors,Europe,Netherlands,Sports,BMX Bike
"101,58",148,2011,1,25,Kumatsu Motors,South America,Brazil,Sports,Snowboard boots
"49,5",249,2011,1,26,QWERTY Logistics,Europe,Portugal,Sports,Trial Bike
29,34,2011,1,27,Atlantic Northern,South America,Brazil,Sports,Trial Bike
250,210,2011,1,27,Ankh-Sto Associates,Europe,Latvia,Sports,Mountain Bike
25,47,2011,1,28,Incom Corporation,Europe,Spain,Sports,Trial Bike
22,357,2011,1,29,Strickland Propane,South America,Brazil,Videos,Best windsurf Videos of the year (2013)
"146,5",351,2011,1,29,The Legitimate Businessmens Club,South America,Brazil,Sports,Snowboard table
"49,95",92,2011,1,30,Sample Company,Europe,Switzerland,Books,Bicycle Wheel
"49,95",415,2011,1,31,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
10,5,2011,1,31,Moes Tavern,South America,Brazil,Sports,Snowboard boots
49,402,2011,1,31,Strickland Propane,South America,Brazil,Sports,Snowboard table
111,65,2011,2,1,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Gloves
"92,233",236,2011,2,2,Allied Biscuit,North America,United States of America,Videos,"Climb higher, faster, better (2022)"
"26,95",171,2011,2,3,Bluth Company,South America,Brazil,Videos,Communicate your skills (2009)
125,489,2011,2,3,Omni Consimer Products,Europe,Germany,Sports,Bicycle brakes
"157,8",417,2011,2,4,Strickland Propane,South America,Brazil,Videos,Repair your own cross bike (2011)
"49,95",295,2011,2,4,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
"94,52",3,2011,2,4,Bluth Company,South America,Brazil,Sports,Snowboard table
"75,5",435,2011,2,5,123 Warehousing,North America,United States of America,Sports,Mountain Bike
"49,95",119,2011,2,6,Smith and Co.,Europe,Spain,Books,Build your own bicycle
79,113,2011,2,6,Gizmonic Institute,South America,Chile,Videos,Extreme mountain bike sessions (2012)
860,126,2011,2,6,Omni Consimer Products,Europe,Germany,Sports,Touring bike
20,327,2011,2,7,The Krusty Krab,Europe,Hungary,Videos,Best windsurf Videos of the year (2013)
49,429,2011,2,8,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
"171,25",462,2011,2,9,Smith and Co.,Europe,Spain,Sports,Tent for extreme weather
22,2,2011,2,9,Strickland Propane,South America,Brazil,Videos,Best windsurf Videos of the year (2013)
"140,1",130,2011,2,9,Acme Corp,Europe,Netherlands,Videos,"Climb higher, faster, better (2010)"
"49,95",230,2011,2,10,ZiffCorp,North America,United States of America,Books,Bicycle Wheel
"44,08",193,2011,2,11,Fake Brothers,North America,United States of America,Sports,Trial Bike
"155,8",118,2011,2,12,Mooby Corp,South America,Ecuador,Sports,Rafting Boat
"193,421",92,2011,2,12,Gringotts,South America,Ecuador,Sports,Climbing equipment
88,376,2011,2,13,General Products,Europe,Austria,Sports,Snowboard boots
"45,52",160,2011,2,14,Flowers By Irene,Europe,Denmark,Sports,Trial Bike
50,430,2011,2,15,Osato Chemicals,North America,United States of America,Various,Various
240,376,2011,2,15,Powell Motors,Europe,Portugal,Sports,Mountain Bike
"108,25",220,2011,2,15,Osato Chemicals,North America,United States of America,Videos,"Climb higher, faster, better (2010)"
340,244,2011,2,16,Omni Consimer Products,Europe,Finland,Sports,Mountain Bike
"49,95",263,2011,2,16,General Products,Europe,Spain,Books,Bicycle Wheel
49,205,2011,2,16,Strickland Propane,South America,Brazil,Sports,Snowboard table
29,454,2011,2,17,Taggart Transcontinental,North America,United States of America,Sports,Trial Bike
"209,45",254,2011,2,18,Keedsler Motors,Europe,Netherlands,Sports,Snowboard glasses
"137,751",10,2011,2,18,Sirius Cybernetics Corporation,Europe,Spain,Sports,Climbing boots
55,294,2011,2,18,LuthorCorp,Europe,Lithuania,Sports,Trial Bike
89,274,2011,2,19,LuthorCorp,Europe,Greece,Sports,Trial Bike
56,158,2011,2,20,Allied Biscuit,Europe,Poland,Videos,"Climb higher, faster, better (2022)"
49,106,2011,2,20,Foo Bars,South America,Brazil,Sports,Snowboard table
"49,95",62,2011,2,21,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
"94,52",236,2011,2,22,Bluth Company,South America,Brazil,Sports,Snowboard table
"49,95",415,2011,2,22,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
"155,4",467,2011,2,23,"Sample, inc",Europe,Switzerland,Sports,Snowboard table
90,463,2011,2,24,ABC Telecom,South America,Guatemala,Sports,Tent for extreme weather
"45,83",24,2011,2,25,Extensive Enterprise,South America,Brazil,Sports,Trial Bike
20,166,2011,2,25,The Krusty Krab,Europe,Hungary,Videos,Best windsurf Videos of the year (2013)
"50,5325",409,2011,2,26,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
"49,95",479,2011,2,26,Globex Corporation,Europe,Slovakia (Slovak Republic),Books,Bicycle Wheel
"41,32",442,2011,2,27,North Central Positronics,Europe,Spain,Various,Various
"209,45",36,2011,2,27,Omni Consimer Products,Europe,Germany,Sports,Mountain Bike
42,349,2011,2,28,Initrode,Europe,Spain,Sports,Snowboard boots
36,425,2011,2,28,Thrift Bank,South America,Ecuador,Sports,Paddle Tennis Set
"236,5",451,2011,2,28,Industrial Automation,Europe,Spain,Sports,Mountain Bike
"160,77",352,2011,3,1,Galaxy Corp,Africa,South Africa,Sports,Snowboard table
89,331,2011,3,1,Gizmonic Institute,South America,Columbia,Videos,Extreme mountain bike sessions (2012)
140,343,2011,3,1,ZiffCorp,North America,United States of America,Sports,Snowboard glasses
345,376,2011,3,2,Colonial Movers,Europe,Monaco,Sports,Mountain Bike
270,240,2011,3,2,Praxis Corporation,Europe,Spain,Various,Various
55,358,2011,3,3,LuthorCorp,Europe,Lithuania,Sports,Trial Bike
"49,5",37,2011,3,3,QWERTY Logistics,Europe,Portugal,Sports,Trial Bike
49,218,2011,3,4,Water and Power,South America,Ecuador,Sports,Climbing equipment
217,229,2011,3,4,"Acme, inc.",Europe,Spain,Sports,Mountain Bike
"155,8",163,2011,3,5,Mammoth Pictures,South America,Ecuador,Sports,Rafting Boat
860,484,2011,3,6,Omni Consimer Products,Europe,Germany,Sports,Touring bike
"49,5",104,2011,3,7,Tessier-Ashpool,Europe,Portugal,Sports,Trial Bike
49,198,2011,3,8,North Central Positronics,Europe,Spain,Sports,Tent for extreme weather
90,49,2011,3,9,ABC Telecom,South America,Guatemala,Sports,Tent for extreme weather
49,10,2011,3,9,North Central Positronics,Europe,Spain,Sports,Tent for extreme weather
"144,1",316,2011,3,10,U.S. Robotics and Mechanical Men,South America,Brazil,Sports,Mountain Bike
49,412,2011,3,10,Foo Bars,South America,Brazil,Sports,Snowboard table
156,294,2011,3,11,U.S. Robotics and Mechanical Men,South America,Argentina,Sports,Mountain Bike
"242,5",376,2011,3,11,Wentworth Industries,Europe,Ireland,Various,Various
70,366,2011,3,11,Colonial Movers,Europe,Spain,Sports,Snowboard boots
20,488,2011,3,12,The Frying Dutchman,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
"242,1",494,2011,3,12,Transworld Consortium,North America,United States of America,Sports,Mountain Bike
"115,24",388,2011,3,13,Galaxy Corp,Africa,South Africa,Sports,Snowboard boots
"49,95",486,2011,3,14,United Fried Chicken,South America,Brazil,Books,Bicycle Wheel
140,356,2011,3,14,ZiffCorp,North America,United States of America,Sports,Snowboard glasses
60,464,2011,3,15,Gizmonic Institute,South America,Brazil,Videos,Extreme mountain bike sessions (2012)
126,359,2011,3,15,Tessier-Ashpool,Europe,Portugal,Sports,Termic Jacket 
"92,233",92,2011,3,15,Allied Biscuit,North America,United States of America,Videos,"Climb higher, faster, better (2022)"
68,420,2011,3,16,LuthorCorp,Europe,Hungary,Videos,Living on a windsurf table (2010)
"193,421",190,2011,3,16,Gringotts,South America,Ecuador,Sports,Climbing equipment
"241,5",302,2011,3,16,Demo Company,South America,Uruguay,Sports,Snowboard table
,432,2011,3,17,,,,,
20,342,2011,3,17,Big T Burgers and Fries,Europe,Slovakia (Slovak Republic),Videos,Best windsurf Videos of the year (2013)
14,480,2011,3,18,Sto Plains Holdings,Europe,France,Sports,Termic Jacket 
47,200,2011,3,19,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Sports,Mountain Bike
14,257,2011,3,19,Thatherton Fuels,South America,Ecuador,Sports,Termic Jacket 
20,88,2011,3,20,Twój sport,Europe,Poland,Videos,Windsurfing na świecie
"94,52",435,2011,3,20,Bluth Company,South America,Brazil,Sports,Snowboard table
"49,5",16,2011,3,21,QWERTY Logistics,Europe,Portugal,Sports,Trial Bike
14,155,2011,3,21,"Demo, inc.",South America,Brazil,Sports,Termic Jacket 
140,412,2011,3,21,Omni Consimer Products,Europe,Poland,Sports,Bicycle Gloves
"171,25",177,2011,3,22,ZiffCorp,North America,United States of America,Sports,Mountain Bike
126,483,2011,3,22,Tessier-Ashpool,Europe,Portugal,Sports,Termic Jacket 
"190,05",342,2011,3,22,Wayne Enterprises,Europe,Spain,Sports,Tent for extreme weather
"44,8709",59,2011,3,23,Virtucon,South America,Brazil,Sports,Trial Bike
"26,95",317,2011,3,24,Bluth Company,South America,Brazil,Videos,Communicate your skills (2009)
111,443,2011,3,25,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Gloves
71,188,2011,3,25,Extensive Enterprise,South America,Brazil,Sports,Mountain Bike
156,375,2011,3,26,U.S. Robotics and Mechanical Men,South America,Argentina,Sports,Mountain Bike
"209,45",466,2011,3,26,Omni Consimer Products,Europe,Germany,Sports,Mountain Bike
"49,95",210,2011,3,27,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
195,481,2011,3,28,Wentworth Industries,Europe,Ireland,Sports,Mountain Bike
"110,37",223,2011,3,29,ABC Telecom,South America,Guatemala,Sports,Snowboard boots
20,447,2011,3,29,Niagular,Europe,France,Videos,Best windsurf Videos of the year (2013)
79,462,2011,3,29,Gizmonic Institute,South America,Chile,Videos,Extreme mountain bike sessions (2012)
29,320,2011,3,30,Atlantic Northern,South America,Brazil,Sports,Trial Bike
"49,95",144,2011,3,31,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
56,241,2011,3,31,Allied Biscuit,Europe,Poland,Videos,"Climb higher, faster, better (2022)"
49,113,2011,4,1,Powell Motors,Europe,Spain,Sports,Tent for extreme weather
111,323,2011,4,1,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Gloves
"152,45",110,2011,4,2,Wayne Enterprises,Europe,Spain,Sports,Snowboard table
29,187,2011,4,3,Taggart Transcontinental,North America,United States of America,Sports,Trial Bike
60,68,2011,4,3,Gizmonic Institute,South America,Brazil,Videos,Extreme mountain bike sessions (2012)
86,18,2011,4,3,LuthorCorp,Europe,Cyprus,Sports,Trial Bike
"45,83",487,2011,4,4,Extensive Enterprise,South America,Brazil,Sports,Trial Bike
"137,751",141,2011,4,5,Sirius Cybernetics Corporation,Europe,Spain,Sports,Climbing boots
60,20,2011,4,5,Chasers,South America,Brazil,Videos,Extreme mountain bike sessions (2012)
46,248,2011,4,5,LuthorCorp,Europe,Slovakia (Slovak Republic),Sports,Trial Bike
"171,25",191,2011,4,6,Smith and Co.,Europe,Spain,Sports,Tent for extreme weather
"155,8",486,2011,4,7,Mammoth Pictures,South America,Ecuador,Sports,Rafting Boat
125,470,2011,4,8,Omni Consimer Products,Europe,Germany,Sports,Bicycle Gloves
140,239,2011,4,8,Omni Consimer Products,Europe,Poland,Sports,Bicycle horn
190,453,2011,4,8,Omni Consimer Products,Europe,Poland,Sports,Gravel Bike
998,71,2011,4,9,Keedsler Motors,Europe,Netherlands,Sports,E-Bike
140,81,2011,4,10,Omni Consimer Products,Europe,Poland,Sports,Bicycle Gloves
"49,95",337,2011,4,11,ZiffCorp,North America,United States of America,Books,Bicycle Wheel
14,155,2011,4,11,"Demo, inc.",South America,Brazil,Sports,Termic Jacket 
217,330,2011,4,11,"Acme, inc.",Europe,Spain,Sports,Mountain Bike
14,47,2011,4,12,Sto Plains Holdings,Europe,France,Sports,Termic Jacket 
49,400,2011,4,12,Powell Motors,Europe,Spain,Sports,Tent for extreme weather
125,196,2011,4,13,Omni Consimer Products,Europe,Germany,Sports,Bicycle brakes
195,383,2011,4,14,"Sample, inc",Europe,Switzerland,Sports,Mountain Bike
"41,32",346,2011,4,14,Praxis Corporation,Europe,Spain,Various,Various
49,223,2011,4,14,Industrial Automation,Europe,Spain,Sports,Mountain Bike
46,83,2011,4,15,LuthorCorp,Europe,Slovakia (Slovak Republic),Sports,Trial Bike
14,220,2011,4,15,"Demo, inc.",South America,Brazil,Sports,Termic Jacket 
180,229,2011,4,15,Omni Consimer Products,Europe,Estonia,Sports,Mountain Bike
42,385,2011,4,16,Initrode,Europe,Spain,Sports,Snowboard boots
90,340,2011,4,16,ABC Telecom,South America,Guatemala,Sports,Tent for extreme weather
"110,37",51,2011,4,16,ABC Telecom,South America,Guatemala,Sports,Snowboard boots
20,102,2011,4,17,Niagular,Europe,France,Videos,Best windsurf Videos of the year (2013)
"49,95",62,2011,4,17,Kumatsu Motors,South America,Brazil,Books,Build your own bicycle
"152,45",134,2011,4,18,Wayne Enterprises,Europe,Spain,Sports,Snowboard table
90,162,2011,4,19,ABC Telecom,South America,Guatemala,Sports,Tent for extreme weather
49,310,2011,4,19,Strickland Propane,South America,Brazil,Sports,Snowboard table
49,73,2011,4,20,Foo Bars,South America,Brazil,Sports,Snowboard table
49,489,2011,4,21,North Central Positronics,Europe,Spain,Sports,Tent for extreme weather
"49,3507",163,2011,4,22,Globo-Chem,North America,Canada,Books,Bicycle Wheel
49,375,2011,4,23,North Central Positronics,Europe,Spain,Sports,Tent for extreme weather
20,329,2011,4,23,Milliways,Europe,Germany,Videos,Best windsurf Videos of the year (2013)
20,497,2011,4,23,Klimpys,South America,Brazil,Videos,Best windsurf Videos of the year (2013)
"149,57",273,2011,4,24,LexCorp,South America,Brazil,Sports,Snowboard table
190,365,2011,4,24,U.S. Robotics and Mechanical Men,South America,French Guyana,Sports,Mountain Bike
"120,75",178,2011,4,24,Mammoth Pictures,South America,Ecuador,Sports,Snowboard table
"52,5",225,2011,4,25,"Acme, inc.",Europe,Spain,Sports,Snowboard boots
75,358,2011,4,25,Gizmonic Institute,South America,Mexico,Videos,Extreme mountain bike sessions (2012)
243,254,2011,4,25,Keedsler Motors,Europe,Italy,Sports,Mountain Bike
48,196,2011,4,26,Tessier-Ashpool,Europe,Slovakia (Slovak Republic),Sports,Tent for extreme weather
49,460,2011,4,26,Acme Corp,Europe,Netherlands,Sports,Snowboard table
"47,9592",248,2011,4,27,Demo Company,South America,Uruguay,Books,Build your own bicycle
"101,58",120,2011,4,28,Kumatsu Motors,South America,Brazil,Sports,Snowboard boots
49,432,2011,4,29,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
"110,37",403,2011,4,29,"Demo, inc.",South America,Brazil,Sports,Snowboard boots
"49,95",427,2011,4,30,Smith and Co.,Europe,Spain,Books,Build your own bicycle
"75,5",496,2011,4,30,123 Warehousing,North America,United States of America,Sports,Mountain Bike
"45,83",132,2011,5,1,Extensive Enterprise,South America,Brazil,Sports,Trial Bike
155,493,2011,5,2,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle horn
49,39,2011,5,2,Powell Motors,Europe,Spain,Sports,Snowboard table
47,171,2011,5,2,LuthorCorp,Europe,Poland,Sports,Trial Bike
"155,3",495,2011,5,3,The Legitimate Businessmens Club,South America,Brazil,Sports,Mountain Bike
50,466,2011,5,4,Osato Chemicals,North America,United States of America,Various,Various
20,303,2011,5,4,Big Kahuna Burger,Europe,United Kingdom of Great Britain & Northern Ireland,Videos,Best windsurf Videos of the year (2013)
79,281,2011,5,4,Gizmonic Institute,South America,Chile,Videos,Extreme mountain bike sessions (2012)
20,395,2011,5,5,The Frying Dutchman,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
"140,1",198,2011,5,5,Acme Corp,Europe,Netherlands,Videos,"Climb higher, faster, better (2010)"
"49,5",283,2011,5,6,QWERTY Logistics,Europe,Portugal,Sports,Trial Bike
"45,2676",64,2011,5,7,LexCorp,South America,Brazil,Sports,Trial Bike
29,92,2011,5,7,Taggart Transcontinental,North America,United States of America,Sports,Trial Bike
"152,45",276,2011,5,8,Wayne Enterprises,Europe,Spain,Sports,Snowboard table
"146,5",332,2011,5,8,Sirius Cybernetics Corporation,Europe,Spain,Sports,Snowboard table
71,230,2011,5,9,Extensive Enterprise,South America,Brazil,Sports,Mountain Bike
99,473,2011,5,9,LuthorCorp,Europe,Croatia,Sports,Trial Bike
"120,75",218,2011,5,10,Three Waters,South America,Ecuador,Sports,Snowboard table
"261,9",186,2011,5,10,Flowers By Irene,Europe,Denmark,Sports,Snowboard table
"41,32",95,2011,5,11,Praxis Corporation,Europe,Spain,Various,Various
"45,37",444,2011,5,12,Sombra Corporation,Europe,France,Sports,Trial Bike
190,69,2011,5,13,U.S. Robotics and Mechanical Men,South America,French Guyana,Sports,Mountain Bike
"49,95",219,2011,5,13,Ankh-Sto Associates,Europe,Spain,Books,Build your own bicycle
14,386,2011,5,13,U.S. Robotics and Mechanical Men,South America,Brazil,Sports,Mountain Bike
"49,95",298,2011,5,14,Sample Company,Europe,Switzerland,Books,Bicycle Wheel
"236,5",15,2011,5,14,Industrial Automation,Europe,Spain,Sports,Mountain Bike
42,146,2011,5,15,Initrode,Europe,Spain,Sports,Snowboard boots
125,487,2011,5,15,Omni Consimer Products,Europe,Germany,Sports,Bicycle Helmet
"49,95",306,2011,5,15,ZiffCorp,North America,United States of America,Books,Bicycle Wheel
"47,9592",106,2011,5,16,Demo Company,South America,Uruguay,Books,Build your own bicycle
"45,52",365,2011,5,17,Flowers By Irene,Europe,Denmark,Sports,Trial Bike
36,31,2011,5,17,Thrift Bank,South America,Ecuador,Sports,Paddle Tennis Set
145,230,2011,5,18,Industrial Automation,Europe,Germany,Sports,Climbing glasses
240,419,2011,5,18,Powell Motors,Europe,Portugal,Sports,Mountain Bike
"50,2396",392,2011,5,19,Leeding Engines Ltd.,Europe,Spain,Books,Build your own bicycle
145,109,2011,5,19,Industrial Automation,Europe,Germany,Sports,Climbing glasses
"45,83",74,2011,5,19,Extensive Enterprise,South America,Brazil,Sports,Trial Bike
20,347,2011,5,20,The Frying Dutchman,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
"41,32",316,2011,5,21,North Central Positronics,Europe,Spain,Various,Various
47,133,2011,5,21,Mr. Sparkle,Europe,United Kingdom of Great Britain & Northern Ireland,Sports,Mountain Bike
22,111,2011,5,22,Strickland Propane,South America,Brazil,Videos,Best windsurf Videos of the year (2013)
14,359,2011,5,22,"Sample, inc",Europe,Switzerland,Sports,Termic Jacket 
125,491,2011,5,22,Omni Consimer Products,Europe,Germany,Sports,Bicycle Gloves
48,447,2011,5,23,Tessier-Ashpool,Europe,Slovakia (Slovak Republic),Sports,Tent for extreme weather
"108,25",26,2011,5,24,Osato Chemicals,North America,United States of America,Videos,"Climb higher, faster, better (2010)"
"49,95",271,2011,5,24,Galaxy Corp,Africa,South Africa,Books,Bicycle Wheel
111,361,2011,5,25,Omni Consimer Products,Europe,Slovakia (Slovak Republic),Sports,Bicycle Gloves
20,68,2011,5,25,Minuteman Cafe,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
340,2,2011,5,25,Omni Consimer Products,Europe,Finland,Sports,Mountain Bike
10,405,2011,5,26,Tip Top Cafe,South America,Brazil,Sports,Snowboard boots
"140,1",484,2011,5,27,Acme Corp,Europe,Netherlands,Videos,"Climb higher, faster, better (2010)"
145,294,2011,5,27,Industrial Automation,Europe,Germany,Sports,Climbing glasses
20,360,2011,5,28,Chotchkies,Europe,Hungary,Videos,Best windsurf Videos of the year (2013)
49,483,2011,5,28,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
"146,5",133,2011,5,29,Sirius Cybernetics Corporation,Europe,Spain,Sports,Snowboard table
14,466,2011,5,30,Virtucon,South America,Brazil,Sports,Termic Jacket 
"115,24",140,2011,5,31,Galaxy Corp,Africa,South Africa,Sports,Snowboard boots
"155,8",352,2011,5,31,Mammoth Pictures,South America,Ecuador,Sports,Rafting Boat
36,93,2011,5,31,Thrift Bank,South America,Ecuador,Sports,Paddle Tennis Set
49,222,2011,6,1,North Central Positronics,Europe,Spain,Sports,Tent for extreme weather
"50,2403",495,2011,6,1,Corellian Engineering Corporation,Europe,Spain,Books,Build your own bicycle
150,200,2011,6,1,Transworld Consortium,North America,Canada,Sports,Mountain Bike
56,69,2011,6,2,Allied Biscuit,Europe,Poland,Videos,"Climb higher, faster, better (2022)"
125,85,2011,6,2,Omni Consimer Products,Europe,Germany,Sports,Bicycle brakes
65,480,2011,6,2,Gizmonic Institute,South America,Peru,Videos,Extreme mountain bike sessions (2012)
49,203,2011,6,3,Corellian Engineering Corporation,Europe,Spain,Videos,Extreme mountain bike sessions (2012)
243,221,2011,6,3,Keedsler Motors,Europe,Italy,Sports,Mountain Bike
140,84,2011,6,3,Omni Consimer Products,Europe,Poland,Sports,Bicycle Gloves
"115,8",441,2011,6,4,QWERTY Logistics,Europe,Portugal,Sports,Tent for extreme weather
160,321,2011,6,5,Keedsler Motors,Europe,Netherlands,Sports,Snowboard boots
"49,5",13,2011,6,5,QWERTY Logistics,Europe,Portugal,Sports,Trial Bike
49,385,2011,6,6,Tessier-Ashpool,Europe,Portugal,Sports,Tent for extreme weather
36,51,2011,6,6,Thrift Bank,South America,Ecuador,Sports,Paddle Tennis Set
"49,95",236,2011,6,6,United Fried Chicken,South America,Brazil,Books,Bicycle Wheel
"49,95",391,2011,6,7,Incom Corporation,Europe,Spain,Books,Bicycle Wheel
"108,25",246,2011,6,8,Thatherton Fuels,South America,Ecuador,Videos,"Climb higher, faster, better (2010)"
"105,75",355,2011,6,9,Incom Corporation,Europe,Spain,Sports,Snowboard table
80,131,2011,6,10,General Products,Europe,Slovakia (Slovak Republic),Sports,Snowboard boots
"50,2403",165,2011,6,10,Corellian Engineering Corporation,Europe,Spain,Books,Build your own bicycle
20,134,2011,6,10,The Krusty Krab,Europe,Hungary,Videos,Best windsurf Videos of the year (2013)
"144,1",281,2011,6,11,U.S. Robotics and Mechanical Men,South America,Brazil,Sports,Mountain Bike
"236,5",240,2011,6,12,Powell Motors,Europe,Spain,Sports,Mountain Bike
70,198,2011,6,12,Colonial Movers,Europe,Spain,Sports,Snowboard boots
"193,421",51,2011,6,13,Gringotts,South America,Ecuador,Sports,Climbing equipment
20,160,2011,6,14,The Frying Dutchman,Europe,Spain,Videos,Best windsurf Videos of the year (2013)
"197,29",256,2011,6,14,Ankh-Sto Associates,Europe,Spain,Sports,Mountain Bike
140,372,2011,6,14,Omni Consimer Products,Europe,Poland,Sports,Bicycle horn
"52,5",288,2011,6,15,"Acme, inc.",Europe,Spain,Sports,Snowboard boots
195,91,2011,6,15,"Sample, inc",Europe,Switzerland,Sports,Mountain Bike
"146,5",104,2011,6,15,Sirius Cybernetics Corporation,Europe,Spain,Sports,Snowboard table
"50,2396",369,2011,6,16,Leeding Engines Ltd.,Europe,Spain,Books,Build your own bicycle
49,178,2011,6,17,United Fried Chicken,South America,Brazil,Sports,Tent for extreme weather
"42,07",364,2011,6,18,Virtucon,South America,Brazil,Sports,Trial Bike
49,192,2011,6,18,Industrial Automation,Europe,Spain,Sports,Mountain Bike
"49,95",238,2011,6,18,Globex Corporation,Europe,Slovakia (Slovak Republic),Books,Bicycle Wheel
"50,5325",353,2011,6,19,Allied Biscuit,North America,United States of America,Books,Bicycle Wheel
"45,37",323,2011,6,20,Sombra Corporation,Europe,France,Sports,Trial Bike
20,113,2011,6,20,Milliways,Europe,Germany,Videos,Best windsurf Videos of the year (2013)
"45,37",497,2011,6,21,Sombra Corporation,Europe,France,Sports,Trial Bike
14,134,2011,6,22,"Sample, inc",Europe,Switzerland,Sports,Termic Jacket 
"162,71",157,2011,6,22,Transworld Consortium,North America,United States of America,Sports,Mountain Bike
140,323,2011,6,23,ZiffCorp,North America,United States of America,Sports,Snowboard glasses
